date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:44	43863/43863	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:56:31%20GMT	http://www.w3schools.com/bootstrap/default.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/default.html	(from )
10:55:45	233/233	---M-Z	200	added ('OK')	text/plain	etag:%22fae0205285facf1:0%22	http://www.w3schools.com/robots.txt		(from )
10:55:46	150400/150400	---M-Z	200	added ('OK')	text/css	etag:%220f9548ab65dd01:0%22	http://www.w3schools.com/bs/css/bootstrap_w3schools.css	/home/faji/websites/bootstrap/www.w3schools.com/bs/css/bootstrap_w3schools.css	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:47	95931/95931	---M-Z	200	added ('OK')	application/x-javascript	etag:%224220669ed33d01:0%22	http://www.w3schools.com/jquery.js	/home/faji/websites/bootstrap/www.w3schools.com/jquery.js	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:49	32988/32988	---M--	200	added ('OK')	image/x-icon	etag:%22d19e59b6626cf1:0%22	http://www.w3schools.com/favicon.ico	/home/faji/websites/bootstrap/www.w3schools.com/favicon.ico	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:49	35601/35601	---M-Z	200	added ('OK')	application/x-javascript	etag:%222a8c935c2a32d01:0%22	http://www.w3schools.com/bs/js/bootstrap.min.js	/home/faji/websites/bootstrap/www.w3schools.com/bs/js/bootstrap.min.js	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:49	25252/25252	---MC-	200	added ('OK')	text/javascript	date:Thu,%2009%20Jul%202015%2023:50:56%20GMT	http://www.google-analytics.com/analytics.js	/home/faji/websites/bootstrap/www.google-analytics.com/analytics.js	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:50	20985/20985	---M-Z	200	added ('OK')	text/css	etag:%22080d0df7ca3d01:0%22	http://www.w3schools.com/stdtheme.css	/home/faji/websites/bootstrap/www.w3schools.com/stdtheme.css	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:50	2192/2192	---M--	200	added ('OK')	image/png	etag:%22923e20c3ba7dd01:0%22	http://www.w3schools.com/images/w3schools.png	/home/faji/websites/bootstrap/www.w3schools.com/images/w3schools.png	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:51	48222/48222	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:26:18%20GMT	http://www.w3schools.com/bootstrap/bootstrap_get_started.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_get_started.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:51	44765/44765	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:32:55%20GMT	http://www.w3schools.com/bootstrap/bootstrap_grid_basic.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_grid_basic.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:52	52696/52696	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:50:28%20GMT	http://www.w3schools.com/bootstrap/bootstrap_typography.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_typography.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:52	46603/46603	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:06:53%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tables.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_tables.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:53	47876/47876	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:12:08%20GMT	http://www.w3schools.com/bootstrap/bootstrap_images.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_images.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:53	43417/43417	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:22:02%20GMT	http://www.w3schools.com/bootstrap/bootstrap_jumbotron_header.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_jumbotron_header.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:54	41515/41515	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:19:44%20GMT	http://www.w3schools.com/bootstrap/bootstrap_wells.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_wells.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:54	44825/44825	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:11:37%20GMT	http://www.w3schools.com/bootstrap/bootstrap_alerts.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_alerts.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:55	46930/46930	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:21:24%20GMT	http://www.w3schools.com/bootstrap/bootstrap_buttons.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_buttons.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:56	49460/49460	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:55:59%20GMT	http://www.w3schools.com/bootstrap/bootstrap_button_groups.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_button_groups.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:56	43594/43594	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:34:45%20GMT	http://www.w3schools.com/bootstrap/bootstrap_glyphicons.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_glyphicons.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:57	45661/45661	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:24:06%20GMT	http://www.w3schools.com/bootstrap/bootstrap_badges_labels.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_badges_labels.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:57	51525/51525	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:46:59%20GMT	http://www.w3schools.com/bootstrap/bootstrap_progressbars.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_progressbars.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:58	46188/46188	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:10:03%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pagination.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_pagination.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:58	42103/42103	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:10:48%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pager.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_pager.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:59	48271/48271	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:28:29%20GMT	http://www.w3schools.com/bootstrap/bootstrap_list_groups.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_list_groups.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:55:59	46507/46507	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:46:36%20GMT	http://www.w3schools.com/bootstrap/bootstrap_panels.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_panels.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:00	50319/50319	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:23:22%20GMT	http://www.w3schools.com/bootstrap/bootstrap_dropdowns.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_dropdowns.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:00	55721/55721	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:29:24%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tabs_pills.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_tabs_pills.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:01	57435/57435	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:37:54%20GMT	http://www.w3schools.com/bootstrap/bootstrap_navbar.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_navbar.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:02	50464/50464	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:25:16%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:02	49131/49131	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:51:57%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:03	49084/49084	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2001:06:50%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs2.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs2.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:03	45912/45912	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:06:51%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_sizing.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_sizing.html	(from http://www.w3schools.com/bootstrap/default.asp)
10:56:04	52594/52594	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jul%202015%2002:11:15%20GMT	http://www.w3schools.com/bootstrap/bootstrap_carousel.asp	/home/faji/websites/bootstrap/www.w3schools.com/bootstrap/bootstrap_carousel.html	(from http://www.w3schools.com/bootstrap/default.asp)
