date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:13	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225519ee21-247c%22	http://ddemidov.github.io/robots.txt		(from )
14:22:14	85056/85056	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/index.html	(from )
14:22:16	6295/6295	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/pyramid.css	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/pyramid.css	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:17	3991/3991	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/pygments.css	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/pygments.css	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:19	95786/95786	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/jquery.js	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/jquery.js	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:20	12140/12140	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/underscore.js	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/underscore.js	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:22	7377/7377	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/doctools.js	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/doctools.js	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:24	228/228	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Jun%202015%2006:22:23%20GMT	http://fonts.googleapis.com/css?family=Neuton&subset=latin	/home/faji/websites/ev3dev-python/fonts.googleapis.com/css45f9.css	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:26	966/966	---MC-	200	added ('OK')	text/css	date:Sat,%2006%20Jun%202015%2006:22:25%20GMT	http://fonts.googleapis.com/css?family=Nobile:regular,italic,bold,bolditalic&subset=latin	/home/faji/websites/ev3dev-python/fonts.googleapis.com/css42aa.css	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:27	24635/24635	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/genindex.html	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/genindex.html	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:28	4310/4310	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/py-modindex.html	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/py-modindex.html	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:30	4182/4182	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/search.html	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/search.html	(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:32	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Jun%202015%2006:22:31%20GMT	http://fonts.googleapis.com/robots.txt		(from http://ddemidov.github.io/ev3dev-lang-python/)
14:22:33	85056/85056	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/index.html	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/index-2.html	(from http://ddemidov.github.io/ev3dev-lang-python/genindex.html)
14:22:34	17880/17880	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202015%2007:54:20%20GMT	http://ddemidov.github.io/ev3dev-lang-python/_static/searchtools.js	/home/faji/websites/ev3dev-python/ddemidov.github.io/ev3dev-lang-python/_static/searchtools.js	(from http://ddemidov.github.io/ev3dev-lang-python/search.html)
