date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:47	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225519ee21-247c%22	http://www.ev3dev.org/robots.txt		(from )
16:58:49	11053/11053	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/	/home/faji/websites/ev3dev/www.ev3dev.org/index.html	(from )
16:58:51	39689/39689	---M-Z	200	added ('OK')	text/xml	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/news/atom.xml	/home/faji/websites/ev3dev/www.ev3dev.org/news/atom.xml	(from http://www.ev3dev.org/)
16:58:53	33447/33447	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/stylesheets/styles.css	/home/faji/websites/ev3dev/www.ev3dev.org/stylesheets/styles.css	(from http://www.ev3dev.org/)
16:58:54	4318/4318	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/stylesheets/pygment_trac.css	/home/faji/websites/ev3dev/www.ev3dev.org/stylesheets/pygment_trac.css	(from http://www.ev3dev.org/)
16:58:59	2205/2205	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/javascripts/jquery.getUrlParam.js	/home/faji/websites/ev3dev/www.ev3dev.org/javascripts/jquery.getUrlParam.js	(from http://www.ev3dev.org/)
16:59:00	6696/6696	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/javascripts/jquery.loadTemplate-1.4.4.min.js	/home/faji/websites/ev3dev/www.ev3dev.org/javascripts/jquery.loadTemplate-1.4.4.min.js	(from http://www.ev3dev.org/)
16:59:01	16017/16017	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/javascripts/respond.js	/home/faji/websites/ev3dev/www.ev3dev.org/javascripts/respond.js	(from http://www.ev3dev.org/)
16:59:02	873/873	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/javascripts/cards.js	/home/faji/websites/ev3dev/www.ev3dev.org/javascripts/cards.js	(from http://www.ev3dev.org/)
16:59:03	591/591	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2001%20Jun%202015%2002:52:49%20GMT	http://www.ev3dev.org/javascripts/menu.js	/home/faji/websites/ev3dev/www.ev3dev.org/javascripts/menu.js	(from http://www.ev3dev.org/)
