date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:52	34687/34687	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202012%2001:16:43%20GMT	https://developers.google.com/edu/python/	/home/faji/websites/google_python/developers.google.com/edu/python/index.html	(from )
12:39:52	106/106	---M-Z	200	added ('OK')	text/plain	etag:5b3c82a6575980c501388e4796a01a6f	https://developers.google.com/robots.txt		(from )
12:40:03	2245/2245	---MC-	200	added ('OK')	text/css	date:Mon,%2029%20Jun%202015%2004:40:00%20GMT	http://fonts.googleapis.com/css?family=Roboto:300,400,400italic,500,500italic,700,700italic|Roboto+Mono:400,700	/home/faji/websites/google_python/fonts.googleapis.com/css5480.css	(from https://developers.google.com/edu/python/)
12:40:03	121631/121631	---M-Z	200	added ('OK')	text/css	etag:%22J9-iFQ%22	https://developers.google.com/_static/464fb7230d/css/devsite-cyan.css	/home/faji/websites/google_python/developers.google.com/_static/464fb7230d/css/devsite-cyan.css	(from https://developers.google.com/edu/python/)
12:40:09	2301/2301	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Feb%202015%2020:49:57%20GMT	http://www.gstatic.com/images/icons/material/product/2x/developers_32dp.png	/home/faji/websites/google_python/www.gstatic.com/images/icons/material/product/2x/developers_32dp.png	(from https://developers.google.com/edu/python/)
12:40:11	5065/5065	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Feb%202015%2019:20:56%20GMT	http://www.gstatic.com/images/icons/material/product/2x/developers_64dp.png	/home/faji/websites/google_python/www.gstatic.com/images/icons/material/product/2x/developers_64dp.png	(from https://developers.google.com/edu/python/)
12:40:15	577/577	---M-Z	200	added ('OK')	application/xml	date:Mon,%2029%20Jun%202015%2004:40:14%20GMT	https://developers.google.com/s/opensearch.xml	/home/faji/websites/google_python/developers.google.com/s/opensearch.xml	(from https://developers.google.com/edu/python/)
12:40:18	84245/84245	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2013%20May%202014%2002:26:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	/home/faji/websites/google_python/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://developers.google.com/edu/python/)
12:40:18	521335/521335	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202015%2004:39:58%20GMT	https://plus.google.com/+GoogleDevelopers/	/home/faji/websites/google_python/plus.google.com/+GoogleDevelopers/index.html	(from https://developers.google.com/edu/python/)
12:40:20	393/393	---M-Z	200	added ('OK')	image/svg+xml	etag:%22J9-iFQ%22	https://developers.google.com/_static/464fb7230d/images/redesign-14/devsite-logo-white-icon.svg	/home/faji/websites/google_python/developers.google.com/_static/464fb7230d/images/redesign-14/devsite-logo-white-icon.svg	(from https://developers.google.com/edu/python/)
