date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:50	13279/13279	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:41:51%20GMT	http://www.tutorialspoint.com/javascript/index.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/index.html	(from )
17:36:02	65/65	---M--	200	added ('OK')	text/plain	etag:%222c1e56-41-501b40b3f6b80%22	http://www.tutorialspoint.com/robots.txt		(from )
17:36:41	3438/3438	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222c2d2c-d6e-501b40b302940%22	http://www.tutorialspoint.com/favicon.ico	/home/faji/websites/javascript/www.tutorialspoint.com/favicon.ico	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:47	10676/10676	---M--	200	added ('OK')	text/css	etag:%222c0b96-29b4-501b40b3f6b80%22	http://www.tutorialspoint.com/tp.css	/home/faji/websites/javascript/www.tutorialspoint.com/tp.css	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:49	22678/22678	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Apr%202015%2020:30:30%20GMT	http://www.google-analytics.com/urchin.js	/home/faji/websites/javascript/www.google-analytics.com/urchin.js	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:50	4943/4943	---M--	200	added ('OK')	image/gif	etag:%22306f58-134f-4ef9fa91e0cc0%22	http://www.tutorialspoint.com/images/tp-logo.gif	/home/faji/websites/javascript/www.tutorialspoint.com/images/tp-logo.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:53	1607/1607	---M--	200	added ('OK')	image/gif	date:Mon,%2002%20Apr%202012%2002:13:37%20GMT	http://www.google.com/logos/Logo_25wht.gif	/home/faji/websites/javascript/www.google.com/logos/Logo_25wht.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:54	16800/16800	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:42:56%20GMT	http://www.tutorialspoint.com/javascript/javascript_overview.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_overview.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:55	16935/16935	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:42:57%20GMT	http://www.tutorialspoint.com/javascript/javascript_syntax.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_syntax.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:56	14476/14476	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:42:58%20GMT	http://www.tutorialspoint.com/javascript/javascript_enabling.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_enabling.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:36:57	16952/16952	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:42:59%20GMT	http://www.tutorialspoint.com/javascript/javascript_placement.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_placement.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:00	18019/18019	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:01%20GMT	http://www.tutorialspoint.com/javascript/javascript_variables.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_variables.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:04	22250/22250	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:05%20GMT	http://www.tutorialspoint.com/javascript/javascript_operators.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_operators.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:09	16697/16697	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:11%20GMT	http://www.tutorialspoint.com/javascript/javascript_ifelse.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_ifelse.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:10	15303/15303	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:12%20GMT	http://www.tutorialspoint.com/javascript/javascript_switch_case.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_switch_case.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:11	14631/14631	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:13%20GMT	http://www.tutorialspoint.com/javascript/javascript_while_loop.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_while_loop.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:12	13729/13729	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:14%20GMT	http://www.tutorialspoint.com/javascript/javascript_for_loop.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_for_loop.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:13	13425/13425	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:14%20GMT	http://www.tutorialspoint.com/javascript/javascript_forin_loop.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_forin_loop.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:14	17888/17888	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:15%20GMT	http://www.tutorialspoint.com/javascript/javascript_loop_control.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_loop_control.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:20	17002/17002	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:16%20GMT	http://www.tutorialspoint.com/javascript/javascript_functions.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_functions.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:21	18515/18515	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:22%20GMT	http://www.tutorialspoint.com/javascript/javascript_events.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_events.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:22	21688/21688	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:23%20GMT	http://www.tutorialspoint.com/javascript/javascript_cookies.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_cookies.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:22	15587/15587	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:24%20GMT	http://www.tutorialspoint.com/javascript/javascript_page_redirect.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_page_redirect.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:23	14972/14972	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:25%20GMT	http://www.tutorialspoint.com/javascript/javascript_dialog_boxes.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_dialog_boxes.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:24	14324/14324	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:26%20GMT	http://www.tutorialspoint.com/javascript/javascript_void_keyword.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_void_keyword.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:25	14019/14019	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:27%20GMT	http://www.tutorialspoint.com/javascript/javascript_page_printing.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_page_printing.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:26	21007/21007	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:28%20GMT	http://www.tutorialspoint.com/javascript/javascript_objects.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_objects.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:27	14965/14965	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:29%20GMT	http://www.tutorialspoint.com/javascript/javascript_number_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_number_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:28	13477/13477	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:30%20GMT	http://www.tutorialspoint.com/javascript/javascript_boolean_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_boolean_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:29	18796/18796	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:30%20GMT	http://www.tutorialspoint.com/javascript/javascript_strings_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_strings_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:30	17257/17257	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:31%20GMT	http://www.tutorialspoint.com/javascript/javascript_arrays_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_arrays_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:31	23354/23354	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:32%20GMT	http://www.tutorialspoint.com/javascript/javascript_date_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_date_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:32	16276/16276	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:33%20GMT	http://www.tutorialspoint.com/javascript/javascript_math_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_math_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:33	20352/20352	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:34%20GMT	http://www.tutorialspoint.com/javascript/javascript_regexp_object.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_regexp_object.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:34	14682/14682	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:35%20GMT	http://www.tutorialspoint.com/javascript/javascript_html_dom.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_html_dom.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:35	21213/21213	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:36%20GMT	http://www.tutorialspoint.com/javascript/javascript_error_handling.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_error_handling.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:35	16680/16680	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:37%20GMT	http://www.tutorialspoint.com/javascript/javascript_form_validations.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_form_validations.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:36	19103/19103	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:38%20GMT	http://www.tutorialspoint.com/javascript/javascript_animation.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_animation.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:37	15655/15655	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:39%20GMT	http://www.tutorialspoint.com/javascript/javascript_multimedia.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_multimedia.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:38	18325/18325	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:40%20GMT	http://www.tutorialspoint.com/javascript/javascript_debugging.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_debugging.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:39	15640/15640	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:41%20GMT	http://www.tutorialspoint.com/javascript/javascript_image_map.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_image_map.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:40	16072/16072	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:42%20GMT	http://www.tutorialspoint.com/javascript/javascript_browsers_handling.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_browsers_handling.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:42	38778/38778	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:43%20GMT	http://www.tutorialspoint.com/javascript/javascript_quick_guide.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_quick_guide.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:42	35317/35317	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:44%20GMT	http://www.tutorialspoint.com/javascript/javascript_builtin_functions.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_builtin_functions.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:44	14408/14408	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2009:43:45%20GMT	http://www.tutorialspoint.com/javascript/javascript_resources.htm	/home/faji/websites/javascript/www.tutorialspoint.com/javascript/javascript_resources.html	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:45	8846/8846	---M--	200	added ('OK')	image/gif	etag:%2230844c-228e-43cdb37696100%22	http://www.tutorialspoint.com/images/javascript.gif	/home/faji/websites/javascript/www.tutorialspoint.com/images/javascript.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:46	232/232	---M--	200	added ('OK')	image/gif	etag:%2230702d-e8-42a381f639e00%22	http://www.tutorialspoint.com/images/previous.gif	/home/faji/websites/javascript/www.tutorialspoint.com/images/previous.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:47	186/186	---M--	200	added ('OK')	image/gif	etag:%22306fa4-ba-42a381fafe940%22	http://www.tutorialspoint.com/images/next.gif	/home/faji/websites/javascript/www.tutorialspoint.com/images/next.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
17:37:48	1145/1145	---M--	200	added ('OK')	image/gif	etag:%223070ba-479-432e26e74f900%22	http://www.tutorialspoint.com/images/add-this.gif	/home/faji/websites/javascript/www.tutorialspoint.com/images/add-this.gif	(from http://www.tutorialspoint.com/javascript/index.htm)
