date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:21	65/65	---M--	200	added ('OK')	text/plain	etag:%222c1e56-41-501b40b3f6b80%22	http://www.tutorialspoint.com/robots.txt		(from )
12:31:21	12372/12372	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:22%20GMT	http://www.tutorialspoint.com/php/	/home/faji/websites/php/www.tutorialspoint.com/php/index.html	(from )
12:31:22	3438/3438	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222c2d2c-d6e-501b40b302940%22	http://www.tutorialspoint.com/favicon.ico	/home/faji/websites/php/www.tutorialspoint.com/favicon.ico	(from http://www.tutorialspoint.com/php/)
12:31:23	10676/10676	---M--	200	added ('OK')	text/css	etag:%222c0b96-29b4-501b40b3f6b80%22	http://www.tutorialspoint.com/tp.css	/home/faji/websites/php/www.tutorialspoint.com/tp.css	(from http://www.tutorialspoint.com/php/)
12:31:23	22678/22678	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Apr%202015%2020:30:30%20GMT	http://www.google-analytics.com/urchin.js	/home/faji/websites/php/www.google-analytics.com/urchin.js	(from http://www.tutorialspoint.com/php/)
12:31:24	4943/4943	---M--	200	added ('OK')	image/gif	etag:%22306f58-134f-4ef9fa91e0cc0%22	http://www.tutorialspoint.com/images/tp-logo.gif	/home/faji/websites/php/www.tutorialspoint.com/images/tp-logo.gif	(from http://www.tutorialspoint.com/php/)
12:31:25	1607/1607	---M--	200	added ('OK')	image/gif	date:Mon,%2002%20Apr%202012%2002:13:37%20GMT	http://www.google.com/logos/Logo_25wht.gif	/home/faji/websites/php/www.google.com/logos/Logo_25wht.gif	(from http://www.tutorialspoint.com/php/)
12:31:26	12372/12372	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:28%20GMT	http://www.tutorialspoint.com/php/index.htm	/home/faji/websites/php/www.tutorialspoint.com/php/index-2.html	(from http://www.tutorialspoint.com/php/)
12:31:27	14510/14510	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:28%20GMT	http://www.tutorialspoint.com/php/php_introduction.htm	/home/faji/websites/php/www.tutorialspoint.com/php/php_introduction.html	(from http://www.tutorialspoint.com/php/)
12:31:28	13679/13679	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:29%20GMT	http://www.tutorialspoint.com/php/php_environment.htm	/home/faji/websites/php/www.tutorialspoint.com/php/php_environment.html	(from http://www.tutorialspoint.com/php/)
12:31:29	17351/17351	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:30%20GMT	http://www.tutorialspoint.com/php/php_syntax_overview.htm	/home/faji/websites/php/www.tutorialspoint.com/php/php_syntax_overview.html	(from http://www.tutorialspoint.com/php/)
12:31:30	20547/20547	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:31%20GMT	http://www.tutorialspoint.com/php/php_variable_types.htm	/home/faji/websites/php/www.tutorialspoint.com/php/php_variable_types.html	(from http://www.tutorialspoint.com/php/)
12:31:32	14523/14523	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202015%2004:37:33%20GMT	http://www.tutorialspoint.com/php/php_constants.htm	/home/faji/websites/php/www.tutorialspoint.com/php/php_constants.html	(from http://www.tutorialspoint.com/php/)
