date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:30	108/108	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Nov%202014%2014:17:13%20GMT	http://www.hobo-web.co.uk/robots.txt		(from )
09:11:34	217814/217814	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2001:11:28%20GMT	http://www.hobo-web.co.uk/seo-tutorial/	/home/faji/websites/seo_2/www.hobo-web.co.uk/seo-tutorial/index.html	(from )
09:11:35	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2011%20Feb%202016%2001:11:33%20GMT	http://www.hobo-web.co.uk/seo-tutorial/images/header-tile-mobile.jpg	/home/faji/websites/seo_2/www.hobo-web.co.uk/seo-tutorial/images/header-tile-mobile.jpg	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:36	251/251	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2011%20Feb%202016%2001:11:34%20GMT	http://www.hobo-web.co.uk/seo-tutorial/images/eccom-optim.png	/home/faji/websites/seo_2/www.hobo-web.co.uk/seo-tutorial/images/eccom-optim.png	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:37	4685/4685	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Feb%202016%2017:40:48%20GMT	http://www.hobo-web.co.uk/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css	/home/faji/websites/seo_2/www.hobo-web.co.uk/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:38	7354/7354	---MC-	200	added ('OK')	application/rss+xml	etag:%22eb83b817d1bd5621a425a5f5c15341c0%22	http://www.hobo-web.co.uk/feed/	/home/faji/websites/seo_2/www.hobo-web.co.uk/feed/index.html	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:38	8397/8397	---MC-	200	added ('OK')	application/rss+xml	etag:%22793fb7a592569f060e0fd7990f6707e2%22	http://www.hobo-web.co.uk/comments/feed/	/home/faji/websites/seo_2/www.hobo-web.co.uk/comments/feed/index.html	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:39	3229/3229	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202016%2016:15:48%20GMT	http://www.hobo-web.co.uk/wp-content/plugins/wbounce/css/min/wbounce.min.css	/home/faji/websites/seo_2/www.hobo-web.co.uk/wp-content/plugins/wbounce/css/min/wbounce.min.css	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:40	7200/7200	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Aug%202015%2021:27:01%20GMT	http://www.hobo-web.co.uk/wp-includes/js/jquery/jquery-migrate.min.js	/home/faji/websites/seo_2/www.hobo-web.co.uk/wp-includes/js/jquery/jquery-migrate.min.js	(from http://www.hobo-web.co.uk/seo-tutorial/)
09:11:41	1626/1626	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2007%20Jan%202016%2016:15:48%20GMT	http://www.hobo-web.co.uk/wp-content/plugins/wbounce/js/min/wbounce.min.js	/home/faji/websites/seo_2/www.hobo-web.co.uk/wp-content/plugins/wbounce/js/min/wbounce.min.js	(from http://www.hobo-web.co.uk/seo-tutorial/)
