date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:24	65/65	---M--	200	added ('OK')	text/plain	etag:%222c22e0-41-501b40b3f6b80%22	http://www.tutorialspoint.com/robots.txt		(from )
21:31:25	24054/24054	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202015%2013:35:59%20GMT	http://www.tutorialspoint.com/vba/	/home/faji/websites/vba/www.tutorialspoint.com/vba/index.html	(from )
21:31:31	3438/3438	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222c2043-d6e-501b40b302940%22	http://www.tutorialspoint.com/favicon.ico	/home/faji/websites/vba/www.tutorialspoint.com/favicon.ico	(from http://www.tutorialspoint.com/vba/)
21:31:32	12772/12772	---M--	200	added ('OK')	text/css	etag:%223068ba-31e4-510abdfd999a9%22	http://www.tutorialspoint.com/theme/css/fonts/font-awesome/css/font-awesome.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/css/fonts/font-awesome/css/font-awesome.css	(from http://www.tutorialspoint.com/vba/)
21:31:33	1557/1557	---MC-	200	added ('OK')	text/css	date:Fri,%2013%20Mar%202015%2013:31:31%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:300,400,600,700,800|Shadows+Into+Light	/home/faji/websites/vba/fonts.googleapis.com/cssf1e9.css	(from http://www.tutorialspoint.com/vba/)
21:31:36	12399/12399	---M--	200	added ('OK')	text/css	etag:%223093ea-306f-50fcfc5957d59%22	http://www.tutorialspoint.com/theme/css/theme-responsive.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/css/theme-responsive.css	(from http://www.tutorialspoint.com/vba/)
21:31:37	2956/2956	---M--	200	added ('OK')	text/css	etag:%222e5850-b8c-5015a1543c2c0%22	http://www.tutorialspoint.com/theme/colorbox.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/colorbox.css	(from http://www.tutorialspoint.com/vba/)
21:31:38	2338/2338	---M--	200	added ('OK')	text/css	etag:%222e583d-922-5008170fd8f80%22	http://www.tutorialspoint.com/theme/prettify.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/prettify.css	(from http://www.tutorialspoint.com/vba/)
21:31:38	107888/107888	---M--	200	added ('OK')	text/css	etag:%22303b32-1a570-510fcb2cd0901%22	http://www.tutorialspoint.com/theme/css/abc-style.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/css/abc-style.css	(from http://www.tutorialspoint.com/vba/)
21:31:38	65582/65582	---M--	200	added ('OK')	text/css	etag:%22303b34-1002e-51116cd508b7e%22	http://www.tutorialspoint.com/theme/css/custom.css	/home/faji/websites/vba/www.tutorialspoint.com/theme/css/custom.css	(from http://www.tutorialspoint.com/vba/)
21:31:44	14551/14551	---M--	200	added ('OK')	text/javascript	etag:%222e5853-38d7-5008170fd8f80%22	http://www.tutorialspoint.com/theme/prettify.js	/home/faji/websites/vba/www.tutorialspoint.com/theme/prettify.js	(from http://www.tutorialspoint.com/vba/)
21:31:44	96385/96385	---M--	200	added ('OK')	text/javascript	etag:%223067d2-17881-5013e3e0a0f00%22	http://www.tutorialspoint.com/theme/vendor/jquery.js	/home/faji/websites/vba/www.tutorialspoint.com/theme/vendor/jquery.js	(from http://www.tutorialspoint.com/vba/)
21:31:45	9466/9466	---M--	200	added ('OK')	text/javascript	etag:%223067d0-24fa-5008170fd8f80%22	http://www.tutorialspoint.com/theme/vendor/modernizr.js	/home/faji/websites/vba/www.tutorialspoint.com/theme/vendor/modernizr.js	(from http://www.tutorialspoint.com/vba/)
21:31:47	13060/13060	---M--	200	added ('OK')	image/gif	etag:%223070bf-3304-50a0bf6499a07%22	http://www.tutorialspoint.com/images/loading-cg.gif	/home/faji/websites/vba/www.tutorialspoint.com/images/loading-cg.gif	(from http://www.tutorialspoint.com/vba/)
21:31:48	9708/9708	---M--	200	added ('OK')	image/png	etag:%222e391a-25ec-50069f33d4c00%22	http://www.tutorialspoint.com/vba/images/logo.png	/home/faji/websites/vba/www.tutorialspoint.com/vba/images/logo.png	(from http://www.tutorialspoint.com/vba/)
21:31:49	18389/18389	---M--	200	added ('OK')	image/png	etag:%223210aa-47d5-50f936a20c4c4%22	http://www.tutorialspoint.com/images/hiring.png	/home/faji/websites/vba/www.tutorialspoint.com/images/hiring.png	(from http://www.tutorialspoint.com/vba/)
21:31:50	41179/41179	---M--	200	added ('OK')	image/png	etag:%2230205f-a0db-4f3c172f8fa80%22	http://www.tutorialspoint.com/images/pattern.png	/home/faji/websites/vba/www.tutorialspoint.com/images/pattern.png	(from http://www.tutorialspoint.com/vba/)
21:31:50	3790/3790	---M--	200	added ('OK')	image/png	etag:%222e3919-ece-5019660b8cfc0%22	http://www.tutorialspoint.com/vba/images/vba-mini-logo.png	/home/faji/websites/vba/www.tutorialspoint.com/vba/images/vba-mini-logo.png	(from http://www.tutorialspoint.com/vba/)
21:31:50	24054/24054	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202015%2013:36:25%20GMT	http://www.tutorialspoint.com/vba/index.htm	/home/faji/websites/vba/www.tutorialspoint.com/vba/index-2.html	(from http://www.tutorialspoint.com/vba/)
21:31:56	24430/24430	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202015%2013:36:25%20GMT	http://www.tutorialspoint.com/vba/vba_overview.htm	/home/faji/websites/vba/www.tutorialspoint.com/vba/vba_overview.html	(from http://www.tutorialspoint.com/vba/)
21:31:57	24824/24824	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202015%2013:36:31%20GMT	http://www.tutorialspoint.com/vba/vba_excel_macros.htm	/home/faji/websites/vba/www.tutorialspoint.com/vba/vba_excel_macros.html	(from http://www.tutorialspoint.com/vba/)
